name,slug,released,genre,rating,metacritic
As Far As The Eye,as-far-as-the-eye,2020-09-09,Strategy,0.0,
Dr Kawashima's Brain Training for Nintendo Switch,dr-kawashimas-brain-training-for-nintendo-switch,2020-01-03,Puzzle,3.12,
PGA TOUR 2K21,pga-tour-2k21,2020-08-21,Simulation,0.0,76.0
CORRUPTION 2029,corruption-2029,2020-02-17,Strategy,3.17,
eFootball PES 2021,efootball-pes-2021,2020-09-15,Sports,0.0,73.0
Anthology of Fear: Prologue,anthology-of-fear-prologue,2020-05-27,Indie,0.0,
Azur Lane Crosswave,azur-lane-crosswave-2,2020-02-13,Adventure,0.0,
Vigil: The Longest Night,vigil-the-longest-night,2020-10-14,Indie,0.0,
SKYHILL: Black Mist,skyhill-black-mist,2020-06-11,Indie,0.0,
RollerCoaster Tycoon 3: Complete Edition,rollercoaster-tycoon-3-complete-edition,2020-09-24,Strategy,0.0,72.0
Azur Lane: Crosswave,azur-lane-crosswave,2020-02-13,Shooter,0.0,56.0
Disc Room,disc-room-2,2020-10-22,Indie,0.0,
Dungeon Defenders: Awakened,dungeon-defenders-awakened,2020-02-26,Strategy,0.0,74.0
Paws and Soul: First Step,paws-and-soul-first-step,2020-06-18,Indie,0.0,
Port Royale 4,port-royale-4,2020-09-25,Strategy,0.0,72.0
Peaky Blinders: Mastermind,peaky-blinders-mastermind,2020-06-01,Indie,0.0,66.0
Mad Age And This Guy,mad-age-and-this-guy,2020-01-30,Casual,0.0,
THE WAYLANDERS,the-waylanders,2020-06-15,Indie,0.0,
Magnificent 5,magnificent-5,2020-01-23,Indie,0.0,
Taur,taur,2020-02-19,Strategy,0.0,70.0
DragonFang - Drahn's Mystery Dungeon,dragonfang-drahns-mystery-dungeon,2020-02-03,RPG,0.0,
Roundguard,roundguard,2020-03-13,Action,3.75,
Mission: It's Complicated,mission-its-complicated,2020-02-14,Casual,0.0,
Puzzle Girls: Alexa,puzzle-girls-alexa,2020-03-05,Casual,0.0,
Jet Lancer,jet-lancer,2020-05-11,Indie,0.0,
